sno,townName,category,state,district
4920,Uppal Kalan,M,Andhra Pradesh,Rangareddi
4921,Upper Sileru Project Site Camp,C.T,Andhra Pradesh,Visakhapatnam
4922,Upper Tadong,C.T,Sikkim,East
4923,Uppidamangalam,T.P,Tamil Nadu,Kapur
4924,Uppiliapuram,T.P,Tamil Nadu,Tiruchirappalli
4925,Uran,M.Cl,Maharashtra,Raigarh
4926,Uran Islampur,M.Cl,Maharashtra,Sangli
4927,Urapakkam,C.T,Tamil Nadu,Kancheepuram
4928,Uravakonda,C.T,Andhra Pradesh,Anantapur
4929,Uri,N.AC,Jammu & Kashmir,Baramula
4930,Urla,C.T,Chhattisgarh,Raipur
4931,Urmar Tanda,M.Cl,Punjab,Hoshiarpur
4932,Usawan,N.P,Uttar Pradesh,Budaun
4933,Usehat,N.P,Uttar Pradesh,Budaun
4934,Usilampatti,M,Tamil Nadu,Madurai
4935,Utekhol,C.T,Maharashtra,Raigarh
4936,Uthamapalayam,T.P,Tamil Nadu,Theni
4937,Uthangarai,T.P,Tamil Nadu,Dharmapuri
4938,Uthayendram,T.P,Tamil Nadu,Vellore
4939,Uthiramerur,T.P,Tamil Nadu,Kancheepuram
4940,Uthukkottai,T.P,Tamil Nadu,Thiruvallur
4941,Uthukuli,T.P,Tamil Nadu,Erode
4942,Utran,C.T,Gujarat,Surat
4943,Utraula,M.B,Uttar Pradesh,Balrampur
4944,Uttar Bagdogra,C.T,West Bengal,Darjiling 
4945,Uttar Durgapur,C.T,West Bengal,South Twentyfour Parganas
4946,Uttar Goara,C.T,West Bengal,Barddhaman 
4947,Uttar Kalas,C.T,West Bengal,South Twentyfour Parganas
4948,Uttar Kamakhyaguri,C.T,West Bengal,Jalpaiguri 
4949,Uttar Krishnapur Part-I,C.T,Assam,Cachar
4950,Uttar Latabari,C.T,West Bengal,Jalpaiguri 
4951,Uttar Mahammadpur,C.T,West Bengal,Murshidabad 
4952,Uttar Pirpur,C.T,West Bengal,Haora 
4953,Uttar Raypur,C.T,West Bengal,South Twentyfour Parganas
4954,Uttarahalli,C.T,Karnataka,Bangalore
4955,Uttarkashi,M.B,Uttaranchal,Uttarkashi
4956,Uttarpara Kotrung,M,West Bengal,Hugli 
4957,V. Pudur,T.P,Tamil Nadu,Toothukudi
4958,Vada,C.T,Maharashtra,Thane
4959,Vadakara,M,Kerala,Kozhikode
4960,Vadakarai Keezhpadugai,T.P,Tamil Nadu,Tirunelveli
4961,Vadakkanandal,T.P,Tamil Nadu,Viluppuram
4962,Vadakkuvalliyur,T.P,Tamil Nadu,Tirunelveli
4963,Vadalur,T.P,Tamil Nadu,Cuddalore
